102,102,33,36
213,42,2,75
193,225,106,24
64,99,144,196
160,204,0,58
62,12,205,203
212,198,82,206
14,222,197,143
209,83,121,175
13,3,109,208
196,181,248,180
36,190,173,251
213,188,36,38
125,53,207,151
120,31,94,184
203,223,200,110
3,72,83,43
153,207,4,149
142,192,0,134
224,238,79,96
98,16,237,168
217,242,147,127
121,99,248,167
14,153,132,118
208,146,244,227
224,18,193,7
192,241,238,196
27,100,62,130
163,161,103,187
210,74,170,110
77,57,61,197
39,219,232,97
10,120,75,78
25,171,16,151
103,145,130,16
37,63,187,33
123,100,46,22
19,250,165,167
160,220,122,210
90,60,177,168
48,187,177,98
174,213,26,175
108,34,83,218
130,153,236,231
173,43,29,42
190,22,146,206
132,55,64,55
237,117,165,221
101,136,234,212
186,27,207,171
