98,16,237,168
101,136,234,212
10,120,75,78
64,99,144,196
209,83,121,175
125,53,207,151
14,153,132,118
213,188,36,38
103,145,130,16
174,213,26,175
203,223,200,110
212,198,82,206
192,241,238,196
160,204,0,58
19,250,165,167
193,225,106,24
160,220,122,210
39,219,232,97
213,42,2,75
142,192,0,134
37,63,187,33
217,242,147,127
102,102,33,36
90,60,177,168
186,27,207,171
132,55,64,55
121,99,248,167
224,238,79,96
153,207,4,149
130,153,236,231
13,3,109,208
173,43,29,42
3,72,83,43
120,31,94,184
36,190,173,251
208,146,244,227
14,222,197,143
25,171,16,151
123,100,46,22
108,34,83,218
190,22,146,206
48,187,177,98
210,74,170,110
62,12,205,203
224,18,193,7
237,117,165,221
196,181,248,180
27,100,62,130
163,161,103,187
77,57,61,197
